Region,Age group,Gender,Year,value
 Khangai region,20-24, Male,2009,76.1
 Khangai region,20-24, Female,2025,59.3
 Khangai region,20-24, Female,2024,69.3
 Khangai region,20-24, Female,2023,38.2
 Khangai region,20-24, Female,2022,48.7
 Khangai region,20-24, Female,2021,51.6
 Khangai region,20-24, Female,2020,63.2
 Khangai region,20-24, Female,2019,69.1
 Khangai region,20-24, Female,2018,50.7
 Khangai region,20-24, Female,2017,57.8
 Khangai region,20-24, Female,2016,65.1
 Khangai region,20-24, Female,2015,60.2
 Khangai region,20-24, Female,2014,65.0
 Khangai region,20-24, Female,2013,64.8
 Khangai region,20-24, Female,2012,61.2
 Khangai region,20-24, Female,2011,66.7
 Khangai region,20-24, Female,2010,70.7
 Khangai region,20-24, Female,2009,74.8
 Khangai region,25-29,Total,2025,85.5
 Khangai region,25-29,Total,2024,85.8
 Khangai region,25-29,Total,2023,88.2
 Khangai region,25-29,Total,2022,88.2
 Khangai region,25-29,Total,2021,93.4
 Khangai region,25-29,Total,2020,89.7
 Khangai region,25-29,Total,2019,87.1
 Khangai region,25-29,Total,2018,80.9
 Khangai region,25-29,Total,2017,87.5
 Khangai region,25-29,Total,2016,91.1
 Khangai region,25-29,Total,2015,88.2
 Khangai region,25-29,Total,2014,91.5
 Khangai region,25-29,Total,2013,88.0
 Khangai region,25-29,Total,2012,88.1
 Khangai region,25-29,Total,2011,77.6
 Khangai region,25-29,Total,2010,85.8
 Khangai region,25-29,Total,2009,84.6
 Khangai region,25-29, Male,2025,94.8
 Khangai region,25-29, Male,2024,93.2
 Khangai region,25-29, Male,2023,92.9
 Khangai region,25-29, Male,2022,89.3
 Khangai region,25-29, Male,2021,99.7
 Khangai region,25-29, Male,2020,90.1
 Khangai region,25-29, Male,2019,94.2
 Khangai region,25-29, Male,2018,89.3
 Khangai region,25-29, Male,2017,93.6
 Khangai region,25-29, Male,2016,95.2
 Khangai region,25-29, Male,2015,94.3
 Khangai region,25-29, Male,2014,92.3
 Khangai region,25-29, Male,2013,90.2
 Khangai region,25-29, Male,2012,93.6
 Khangai region,25-29, Male,2011,86.2
 Khangai region,25-29, Male,2010,86.3
 Khangai region,25-29, Male,2009,87.7
 Khangai region,25-29, Female,2025,76.5
 Khangai region,25-29, Female,2024,75.5
 Khangai region,25-29, Female,2023,82.9
 Khangai region,25-29, Female,2022,86.6
 Khangai region,25-29, Female,2021,85.6
 Khangai region,25-29, Female,2020,89.3
 Khangai region,25-29, Female,2019,76.1
 Khangai region,25-29, Female,2018,72.7
 Khangai region,25-29, Female,2017,80.9
 Khangai region,25-29, Female,2016,87.3
 Khangai region,25-29, Female,2015,81.8
 Khangai region,25-29, Female,2014,90.8
 Khangai region,25-29, Female,2013,86.0
 Khangai region,25-29, Female,2012,82.3
 Khangai region,25-29, Female,2011,68.2
 Khangai region,25-29, Female,2010,85.2
 Khangai region,25-29, Female,2009,81.6
 Khangai region,30-34,Total,2025,88.6
 Khangai region,30-34,Total,2024,96.5
 Khangai region,30-34,Total,2023,90.3
 Khangai region,30-34,Total,2022,89.0
 Khangai region,30-34,Total,2021,95.5
 Khangai region,30-34,Total,2020,90.3
 Khangai region,30-34,Total,2019,91.3
 Khangai region,30-34,Total,2018,87.5
 Khangai region,30-34,Total,2017,93.2
 Khangai region,30-34,Total,2016,91.9
 Khangai region,30-34,Total,2015,93.1
 Khangai region,30-34,Total,2014,91.9
 Khangai region,30-34,Total,2013,91.7
 Khangai region,30-34,Total,2012,92.3
 Khangai region,30-34,Total,2011,85.3
 Khangai region,30-34,Total,2010,90.7
 Khangai region,30-34,Total,2009,87.7
 Khangai region,30-34, Male,2025,97.2
 Khangai region,30-34, Male,2024,100.0
 Khangai region,30-34, Male,2023,93.2
 Khangai region,30-34, Male,2022,98.0
 Khangai region,30-34, Male,2021,99.3
 Khangai region,30-34, Male,2020,95.5
 Khangai region,30-34, Male,2019,92.8
 Khangai region,30-34, Male,2018,93.0
 Khangai region,30-34, Male,2017,95.4
 Khangai region,30-34, Male,2016,94.4
 Khangai region,30-34, Male,2015,94.9
 Khangai region,30-34, Male,2014,97.6
 Khangai region,30-34, Male,2013,94.7
 Khangai region,30-34, Male,2012,96.4
 Khangai region,30-34, Male,2011,87.6
 Khangai region,30-34, Male,2010,94.2
 Khangai region,30-34, Male,2009,92.7
 Khangai region,30-34, Female,2025,80.6
 Khangai region,30-34, Female,2024,93.0
 Khangai region,30-34, Female,2023,88.2
 Khangai region,30-34, Female,2022,81.1
 Khangai region,30-34, Female,2021,92.8
 Khangai region,30-34, Female,2020,85.2
 Khangai region,30-34, Female,2019,90.3
 Khangai region,30-34, Female,2018,82.0
 Khangai region,30-34, Female,2017,91.2
 Khangai region,30-34, Female,2016,89.4
 Khangai region,30-34, Female,2015,91.6
 Khangai region,30-34, Female,2014,86.8
 Khangai region,30-34, Female,2013,88.8
 Khangai region,30-34, Female,2012,88.7
 Khangai region,30-34, Female,2011,83.5
 Khangai region,30-34, Female,2010,87.0
 Khangai region,30-34, Female,2009,82.7
 Khangai region,35-39,Total,2025,92.1
 Khangai region,35-39,Total,2024,93.3
 Khangai region,35-39,Total,2023,89.3
 Khangai region,35-39,Total,2022,88.5
 Khangai region,35-39,Total,2021,93.4
 Khangai region,35-39,Total,2020,92.5
 Khangai region,35-39,Total,2019,86.6
 Khangai region,35-39,Total,2018,93.1
 Khangai region,35-39,Total,2017,89.6
 Khangai region,35-39,Total,2016,92.6
 Khangai region,35-39,Total,2015,94.6
 Khangai region,35-39,Total,2014,96.3
 Khangai region,35-39,Total,2013,94.4
 Khangai region,35-39,Total,2012,94.6
 Khangai region,35-39,Total,2011,87.9
 Khangai region,35-39,Total,2010,88.9
 Khangai region,35-39,Total,2009,91.0
 Khangai region,35-39, Male,2025,95.4
 Khangai region,35-39, Male,2024,95.0
 Khangai region,35-39, Male,2023,91.4
 Khangai region,35-39, Male,2022,95.9
 Khangai region,35-39, Male,2021,98.3
 Khangai region,35-39, Male,2020,94.1
 Khangai region,35-39, Male,2019,91.8
 Khangai region,35-39, Male,2018,94.5
 Khangai region,35-39, Male,2017,93.3
 Khangai region,35-39, Male,2016,95.5
 Khangai region,35-39, Male,2015,94.2
 Khangai region,35-39, Male,2014,95.6
 Khangai region,35-39, Male,2013,94.5
 Khangai region,35-39, Male,2012,96.8
 Khangai region,35-39, Male,2011,89.9
 Khangai region,35-39, Male,2010,91.9
 Khangai region,35-39, Male,2009,92.8
 Khangai region,35-39, Female,2025,88.5
 Khangai region,35-39, Female,2024,91.8
 Khangai region,35-39, Female,2023,87.2
 Khangai region,35-39, Female,2022,81.6
 Khangai region,35-39, Female,2021,87.8
 Khangai region,35-39, Female,2020,91.1
 Khangai region,35-39, Female,2019,81.0
 Khangai region,35-39, Female,2018,91.6
 Khangai region,35-39, Female,2017,86.4
 Khangai region,35-39, Female,2016,89.9
 Khangai region,35-39, Female,2015,94.9
 Khangai region,35-39, Female,2014,97.0
 Khangai region,35-39, Female,2013,94.4
 Khangai region,35-39, Female,2012,92.2
 Khangai region,35-39, Female,2011,86.0
 Khangai region,35-39, Female,2010,86.1
 Khangai region,35-39, Female,2009,89.2
 Khangai region,40-44,Total,2025,95.2
 Khangai region,40-44,Total,2024,93.7
 Khangai region,40-44,Total,2023,91.2
 Khangai region,40-44,Total,2022,92.7
 Khangai region,40-44,Total,2021,92.9
 Khangai region,40-44,Total,2020,90.6
 Khangai region,40-44,Total,2019,90.8
 Khangai region,40-44,Total,2018,95.1
 Khangai region,40-44,Total,2017,92.7
 Khangai region,40-44,Total,2016,93.7
 Khangai region,40-44,Total,2015,93.8
 Khangai region,40-44,Total,2014,94.7
 Khangai region,40-44,Total,2013,93.0
 Khangai region,40-44,Total,2012,92.4
 Khangai region,40-44,Total,2011,91.5
 Khangai region,40-44,Total,2010,87.8
 Khangai region,40-44,Total,2009,91.9
 Khangai region,40-44, Male,2025,95.9
 Khangai region,40-44, Male,2024,92.7
 Khangai region,40-44, Male,2023,89.5
 Khangai region,40-44, Male,2022,95.9
 Khangai region,40-44, Male,2021,92.1
 Khangai region,40-44, Male,2020,96.7
 Khangai region,40-44, Male,2019,95.6
 Khangai region,40-44, Male,2018,95.9
 Khangai region,40-44, Male,2017,95.5
 Khangai region,40-44, Male,2016,93.7
 Khangai region,40-44, Male,2015,96.7
 Khangai region,40-44, Male,2014,96.1
 Khangai region,40-44, Male,2013,92.7
 Khangai region,40-44, Male,2012,95.6
 Khangai region,40-44, Male,2011,91.5
 Khangai region,40-44, Male,2010,90.3
 Khangai region,40-44, Male,2009,92.0
 Khangai region,40-44, Female,2025,94.5
 Khangai region,40-44, Female,2024,94.7
 Khangai region,40-44, Female,2023,92.8
 Khangai region,40-44, Female,2022,90.2
 Khangai region,40-44, Female,2021,93.5
 Khangai region,40-44, Female,2020,85.0
 Khangai region,40-44, Female,2019,85.6
 Khangai region,40-44, Female,2018,94.5
 Khangai region,40-44, Female,2017,90.4
 Khangai region,40-44, Female,2016,93.8
 Khangai region,40-44, Female,2015,91.3
 Khangai region,40-44, Female,2014,93.4
 Khangai region,40-44, Female,2013,93.4
 Khangai region,40-44, Female,2012,89.8
 Khangai region,40-44, Female,2011,91.5
 Khangai region,40-44, Female,2010,85.7
 Khangai region,40-44, Female,2009,91.8
 Khangai region,45-49,Total,2025,93.5
 Khangai region,45-49,Total,2024,92.5
 Khangai region,45-49,Total,2023,94.3
 Khangai region,45-49,Total,2022,92.0
 Khangai region,45-49,Total,2021,93.4
 Khangai region,45-49,Total,2020,92.8
 Khangai region,45-49,Total,2019,92.8
 Khangai region,45-49,Total,2018,89.5
 Khangai region,45-49,Total,2017,92.7
 Khangai region,45-49,Total,2016,92.5
 Khangai region,45-49,Total,2015,92.8
 Khangai region,45-49,Total,2014,94.1
 Khangai region,45-49,Total,2013,92.1
 Khangai region,45-49,Total,2012,88.8
 Khangai region,45-49,Total,2011,85.8
 Khangai region,45-49,Total,2010,86.3
 Khangai region,45-49,Total,2009,89.1
 Khangai region,45-49, Male,2025,96.4
 Khangai region,45-49, Male,2024,92.0
 Khangai region,45-49, Male,2023,95.7
 Khangai region,45-49, Male,2022,95.1
 Khangai region,45-49, Male,2021,96.3
 Khangai region,45-49, Male,2020,90.7
 Khangai region,45-49, Male,2019,93.1
 Khangai region,45-49, Male,2018,89.5
 Khangai region,45-49, Male,2017,93.0
 Khangai region,45-49, Male,2016,95.5
 Khangai region,45-49, Male,2015,95.4
 Khangai region,45-49, Male,2014,95.4
 Khangai region,45-49, Male,2013,94.6
 Khangai region,45-49, Male,2012,91.0
 Khangai region,45-49, Male,2011,89.7
 Khangai region,45-49, Male,2010,89.0
 Khangai region,45-49, Male,2009,86.4
 Khangai region,45-49, Female,2025,90.8
 Khangai region,45-49, Female,2024,93.0
 Khangai region,45-49, Female,2023,93.0
 Khangai region,45-49, Female,2022,89.4
 Khangai region,45-49, Female,2021,90.1
 Khangai region,45-49, Female,2020,95.2
 Khangai region,45-49, Female,2019,92.5
 Khangai region,45-49, Female,2018,89.6
 Khangai region,45-49, Female,2017,92.4
 Khangai region,45-49, Female,2016,89.5
 Khangai region,45-49, Female,2015,90.1
 Khangai region,45-49, Female,2014,92.9
 Khangai region,45-49, Female,2013,89.9
 Khangai region,45-49, Female,2012,86.4
 Khangai region,45-49, Female,2011,82.2
 Khangai region,45-49, Female,2010,83.3
 Khangai region,45-49, Female,2009,92.1
 Khangai region,50-54,Total,2025,91.9
 Khangai region,50-54,Total,2024,88.3
 Khangai region,50-54,Total,2023,85.1
 Khangai region,50-54,Total,2022,80.0
 Khangai region,50-54,Total,2021,85.9
 Khangai region,50-54,Total,2020,81.5
 Khangai region,50-54,Total,2019,77.4
 Khangai region,50-54,Total,2018,84.3
 Khangai region,50-54,Total,2017,85.0
 Khangai region,50-54,Total,2016,85.5
 Khangai region,50-54,Total,2015,81.4
 Khangai region,50-54,Total,2014,83.3
 Khangai region,50-54,Total,2013,81.2
 Khangai region,50-54,Total,2012,78.4
 Khangai region,50-54,Total,2011,78.4
 Khangai region,50-54,Total,2010,80.0
 Khangai region,50-54,Total,2009,87.4
 Khangai region,50-54, Male,2025,96.5
 Khangai region,50-54, Male,2024,92.8
 Khangai region,50-54, Male,2023,83.3
 Khangai region,50-54, Male,2022,86.0
 Khangai region,50-54, Male,2021,88.2
 Khangai region,50-54, Male,2020,87.9
 Khangai region,50-54, Male,2019,83.3
 Khangai region,50-54, Male,2018,89.2
 Khangai region,50-54, Male,2017,90.8
 Khangai region,50-54, Male,2016,91.8
 Khangai region,50-54, Male,2015,88.5
 Khangai region,50-54, Male,2014,86.9
 Khangai region,50-54, Male,2013,84.5
 Khangai region,50-54, Male,2012,82.0
 Khangai region,50-54, Male,2011,84.1
 Khangai region,50-54, Male,2010,87.6
 Khangai region,50-54, Male,2009,92.5
 Khangai region,50-54, Female,2025,87.3
 Khangai region,50-54, Female,2024,84.7
 Khangai region,50-54, Female,2023,86.6
 Khangai region,50-54, Female,2022,74.7
 Khangai region,50-54, Female,2021,84.4
 Khangai region,50-54, Female,2020,75.9
 Khangai region,50-54, Female,2019,72.0
 Khangai region,50-54, Female,2018,79.8
 Khangai region,50-54, Female,2017,79.3
 Khangai region,50-54, Female,2016,78.4
 Khangai region,50-54, Female,2015,74.4
 Khangai region,50-54, Female,2014,79.3
 Khangai region,50-54, Female,2013,78.3
 Khangai region,50-54, Female,2012,75.3
 Khangai region,50-54, Female,2011,73.0
 Khangai region,50-54, Female,2010,71.6
 Khangai region,50-54, Female,2009,82.7
 Khangai region,55-59,Total,2025,65.8
 Khangai region,55-59,Total,2024,65.9
 Khangai region,55-59,Total,2023,62.2
 Khangai region,55-59,Total,2022,56.1
 Khangai region,55-59,Total,2021,53.0
 Khangai region,55-59,Total,2020,50.7
 Khangai region,55-59,Total,2019,58.8
 Khangai region,55-59,Total,2018,63.7
 Khangai region,55-59,Total,2017,59.7
 Khangai region,55-59,Total,2016,65.2
 Khangai region,55-59,Total,2015,59.4
 Khangai region,55-59,Total,2014,64.7
 Khangai region,55-59,Total,2013,61.4
 Khangai region,55-59,Total,2012,66.9
 Khangai region,55-59,Total,2011,63.6
 Khangai region,55-59,Total,2010,64.3
 Khangai region,55-59,Total,2009,61.8
 Khangai region,55-59, Male,2025,85.4
 Khangai region,55-59, Male,2024,82.3
 Khangai region,55-59, Male,2023,71.1
 Khangai region,55-59, Male,2022,82.2
 Khangai region,55-59, Male,2021,82.3
 Khangai region,55-59, Male,2020,74.0
 Khangai region,55-59, Male,2019,74.1
 Khangai region,55-59, Male,2018,82.0
 Khangai region,55-59, Male,2017,74.1
 Khangai region,55-59, Male,2016,81.5
 Khangai region,55-59, Male,2015,75.8
 Khangai region,55-59, Male,2014,79.3
 Khangai region,55-59, Male,2013,78.7
 Khangai region,55-59, Male,2012,81.8
 Khangai region,55-59, Male,2011,77.8
 Khangai region,55-59, Male,2010,77.6
 Khangai region,55-59, Male,2009,70.5
 Khangai region,55-59, Female,2025,50.4
 Khangai region,55-59, Female,2024,50.0
 Khangai region,55-59, Female,2023,55.2
 Khangai region,55-59, Female,2022,33.8
 Khangai region,55-59, Female,2021,31.3
 Khangai region,55-59, Female,2020,32.9
 Khangai region,55-59, Female,2019,48.0
 Khangai region,55-59, Female,2018,45.9
 Khangai region,55-59, Female,2017,48.1
 Khangai region,55-59, Female,2016,54.2
 Khangai region,55-59, Female,2015,47.6
 Khangai region,55-59, Female,2014,52.0
 Khangai region,55-59, Female,2013,48.1
 Khangai region,55-59, Female,2012,57.5
 Khangai region,55-59, Female,2011,49.8
 Khangai region,55-59, Female,2010,52.1
 Khangai region,55-59, Female,2009,53.2
 Khangai region,60-64,Total,2025,44.3
 Khangai region,60-64,Total,2024,39.0
 Khangai region,60-64,Total,2023,36.7
 Khangai region,60-64,Total,2022,47.2
 Khangai region,60-64,Total,2021,28.2
 Khangai region,60-64,Total,2020,28.2
 Khangai region,60-64,Total,2019,38.5
 Khangai region,60-64,Total,2018,34.1
 Khangai region,60-64,Total,2017,35.6
 Khangai region,60-64,Total,2016,46.1
 Khangai region,60-64,Total,2015,39.0
 Khangai region,60-64,Total,2014,29.6
 Khangai region,60-64,Total,2013,46.5
 Khangai region,60-64,Total,2012,40.5
 Khangai region,60-64,Total,2011,29.4
 Khangai region,60-64,Total,2010,39.2
 Khangai region,60-64,Total,2009,40.2
 Khangai region,60-64, Male,2025,46.2
 Khangai region,60-64, Male,2024,46.3
 Khangai region,60-64, Male,2023,48.0
 Khangai region,60-64, Male,2022,39.9
 Khangai region,60-64, Male,2021,25.8
 Khangai region,60-64, Male,2020,31.8
 Khangai region,60-64, Male,2019,48.4
 Khangai region,60-64, Male,2018,45.7
 Khangai region,60-64, Male,2017,38.0
 Khangai region,60-64, Male,2016,53.2
 Khangai region,60-64, Male,2015,46.9
 Khangai region,60-64, Male,2014,36.2
 Khangai region,60-64, Male,2013,51.3
 Khangai region,60-64, Male,2012,52.6
 Khangai region,60-64, Male,2011,32.0
 Khangai region,60-64, Male,2010,45.1
 Khangai region,60-64, Male,2009,41.2
 Khangai region,60-64, Female,2025,42.5
 Khangai region,60-64, Female,2024,33.2
 Khangai region,60-64, Female,2023,29.6
 Khangai region,60-64, Female,2022,53.1
 Khangai region,60-64, Female,2021,30.2
 Khangai region,60-64, Female,2020,25.9
 Khangai region,60-64, Female,2019,29.2
 Khangai region,60-64, Female,2018,26.1
 Khangai region,60-64, Female,2017,33.1
 Khangai region,60-64, Female,2016,37.5
 Khangai region,60-64, Female,2015,32.7
 Khangai region,60-64, Female,2014,23.3
 Khangai region,60-64, Female,2013,40.1
 Khangai region,60-64, Female,2012,27.7
 Khangai region,60-64, Female,2011,27.3
 Khangai region,60-64, Female,2010,33.9
 Khangai region,60-64, Female,2009,39.5
 Khangai region,65-69,Total,2025,29.8
 Khangai region,65-69,Total,2024,30.2
 Khangai region,65-69,Total,2023,27.2
 Khangai region,65-69,Total,2022,30.6
 Khangai region,65-69,Total,2021,24.0
 Khangai region,65-69,Total,2020,32.7
 Khangai region,65-69,Total,2019,26.1
 Khangai region,65-69,Total,2018,21.0
 Khangai region,65-69,Total,2017,32.0
 Khangai region,65-69,Total,2016,33.9
 Khangai region,65-69,Total,2015,31.4
 Khangai region,65-69,Total,2014,34.8
 Khangai region,65-69,Total,2013,44.6
 Khangai region,65-69,Total,2012,14.7
 Khangai region,65-69,Total,2011,13.6
 Khangai region,65-69,Total,2010,30.2
 Khangai region,65-69,Total,2009,29.6
 Khangai region,65-69, Male,2025,29.7
 Khangai region,65-69, Male,2024,31.7
 Khangai region,65-69, Male,2023,40.7
 Khangai region,65-69, Male,2022,45.6
 Khangai region,65-69, Male,2021,27.5
 Khangai region,65-69, Male,2020,32.0
 Khangai region,65-69, Male,2019,38.6
 Khangai region,65-69, Male,2018,20.6
 Khangai region,65-69, Male,2017,36.8
 Khangai region,65-69, Male,2016,30.1
 Khangai region,65-69, Male,2015,30.1
 Khangai region,65-69, Male,2014,34.2
 Khangai region,65-69, Male,2013,39.3
 Khangai region,65-69, Male,2012,13.5
 Khangai region,65-69, Male,2011,17.6
 Khangai region,65-69, Male,2010,35.6
 Khangai region,65-69, Male,2009,40.6
 Khangai region,65-69, Female,2025,29.8
 Khangai region,65-69, Female,2024,29.1
 Khangai region,65-69, Female,2023,17.6
 Khangai region,65-69, Female,2022,10.6
 Khangai region,65-69, Female,2021,19.7
 Khangai region,65-69, Female,2020,33.2
 Khangai region,65-69, Female,2019,3.9
 Khangai region,65-69, Female,2018,21.3
 Khangai region,65-69, Female,2017,28.8
 Khangai region,65-69, Female,2016,37.0
 Khangai region,65-69, Female,2015,32.4
 Khangai region,65-69, Female,2014,35.4
 Khangai region,65-69, Female,2013,48.6
 Khangai region,65-69, Female,2012,15.6
 Khangai region,65-69, Female,2011,10.3
 Khangai region,65-69, Female,2010,24.1
 Khangai region,65-69, Female,2009,15.4
 Khangai region,70+,Total,2025,16.7
 Khangai region,70+,Total,2024,10.4
 Khangai region,70+,Total,2023,13.8
 Khangai region,70+,Total,2022,4.9
 Khangai region,70+,Total,2021,10.5
 Khangai region,70+,Total,2020,4.6
 Khangai region,70+,Total,2019,2.6
 Khangai region,70+,Total,2018,10.2
 Khangai region,70+,Total,2017,11.5
 Khangai region,70+,Total,2016,17.5
 Khangai region,70+,Total,2015,17.2
 Khangai region,70+,Total,2014,14.5
 Khangai region,70+,Total,2013,15.0
 Khangai region,70+,Total,2012,14.9
 Khangai region,70+,Total,2011,14.3
 Khangai region,70+,Total,2010,19.9
 Khangai region,70+,Total,2009,6.9
 Khangai region,70+, Male,2025,22.1
 Khangai region,70+, Male,2024,21.9
 Khangai region,70+, Male,2023,17.7
 Khangai region,70+, Male,2022,11.2
 Khangai region,70+, Male,2021,11.8
 Khangai region,70+, Male,2020,4.4
 Khangai region,70+, Male,2019,5.0
 Khangai region,70+, Male,2018,13.3
 Khangai region,70+, Male,2017,13.5
 Khangai region,70+, Male,2016,27.0
 Khangai region,70+, Male,2015,20.7
 Khangai region,70+, Male,2014,25.1
 Khangai region,70+, Male,2013,27.3
 Khangai region,70+, Male,2012,19.7
 Khangai region,70+, Male,2011,23.4
 Khangai region,70+, Male,2010,25.3
 Khangai region,70+, Male,2009,7.8
 Khangai region,70+, Female,2025,13.9
 Khangai region,70+, Female,2024,6.0
 Khangai region,70+, Female,2023,10.3
 Khangai region,70+, Female,2022,1.3
 Khangai region,70+, Female,2021,9.9
 Khangai region,70+, Female,2020,4.8
 Khangai region,70+, Female,2019,0.0
 Khangai region,70+, Female,2018,7.9
 Khangai region,70+, Female,2017,9.3
 Khangai region,70+, Female,2016,11.5
 Khangai region,70+, Female,2015,14.1
 Khangai region,70+, Female,2014,7.3
 Khangai region,70+, Female,2013,7.4
 Khangai region,70+, Female,2012,10.2
 Khangai region,70+, Female,2011,7.2
 Khangai region,70+, Female,2010,15.5
 Khangai region,70+, Female,2009,6.2
 Arkhangai,Total,Total,2025,68.0
 Arkhangai,Total,Total,2024,63.7
 Arkhangai,Total,Total,2023,70.8
 Arkhangai,Total,Total,2022,76.6
 Arkhangai,Total,Total,2021,72.4
 Arkhangai,Total,Total,2020,72.0
 Arkhangai,Total,Total,2019,78.9
 Arkhangai,Total,Total,2018,77.8
 Arkhangai,Total,Total,2017,75.5
 Arkhangai,Total,Total,2016,76.0
 Arkhangai,Total,Total,2015,71.8
 Arkhangai,Total,Total,2014,77.8
 Arkhangai,Total,Total,2013,78.2
 Arkhangai,Total,Total,2012,81.4
 Arkhangai,Total,Total,2011,80.7
 Arkhangai,Total,Total,2010,78.6
 Arkhangai,Total,Total,2009,76.8
 Arkhangai,Total, Male,2025,75.6
 Arkhangai,Total, Male,2024,70.4
